DATE,T10Y2Y
2007-01-06,-0.11
2007-02-06,-0.13
2007-03-06,-0.05
2007-04-06,0.01
2007-05-06,-0.11
2007-06-06,0
2007-07-06,0.2
2007-08-06,0.26
2007-09-06,0.43
2007-10-06,0.57
2007-11-06,0.68
2007-12-06,0.99
2008-01-06,1.1
2008-02-06,1.65
2008-03-06,2.09
2008-04-06,1.62
2008-05-06,1.55
2008-06-06,1.54
2008-07-06,1.48
2008-08-06,1.5
2008-09-06,1.43
2008-10-06,2.05
2008-11-06,2.47
2008-12-06,1.74
2009-01-06,1.71
2009-02-06,2.06
2009-03-06,1.92
2009-04-06,2.01
2009-05-06,2.22
2009-06-06,2.52
2009-07-06,2.56
2009-08-06,2.57
2009-09-06,2.51
2009-10-06,2.36
2009-11-06,2.68
2009-12-06,2.66
2010-01-06,2.84
2010-02-06,2.61
2010-03-06,2.78
2010-04-06,2.84
2010-05-06,2.66
2010-06-06,2.43
2010-07-06,2.33
2010-08-06,2.36
2010-09-06,2.12
2010-10-06,2.03
2010-11-06,2.2
2010-12-06,2.53
2011-01-06,2.76
2011-02-06,2.9
2011-03-06,2.81
2011-04-06,2.71
2011-05-06,2.62
2011-06-06,2.58
2011-07-06,2.69
2011-08-06,2.3
2011-09-06,1.77
2011-10-06,1.72
2011-11-06,1.79
2011-12-06,1.83
2012-01-06,1.73
2012-02-06,1.69
2012-03-06,1.66
2012-04-06,1.75
2012-05-06,1.65
2012-06-06,1.4
2012-07-06,1.3
2012-08-06,1.35
2012-09-06,1.41
2012-10-06,1.48
2012-11-06,1.48
2012-12-06,1.34
2013-01-06,1.65
2013-02-06,1.73
2013-03-06,1.7
2013-04-06,1.48
2013-05-06,1.58
2013-06-06,1.78
2013-07-06,2.33
2013-08-06,2.35
2013-09-06,2.48
2013-10-06,2.28
2013-11-06,2.37
2013-12-06,2.58
2014-01-06,2.58
2014-02-06,2.4
2014-03-06,2.37
2014-04-06,2.3
2014-05-06,2.18
2014-06-06,2.19
2014-07-06,2.11
2014-08-06,2.01
2014-09-06,1.94
2014-10-06,1.89
2014-11-06,1.85
2014-12-06,1.66
2015-01-06,1.32
2015-02-06,1.3
2015-03-06,1.51
2015-04-06,1.41
2015-05-06,1.6
2015-06-06,1.68
2015-07-06,1.7
2015-08-06,1.52
2015-09-06,1.42
2015-10-06,1.44
2015-11-06,1.44
2015-12-06,1.29
2016-01-06,1.19
2016-02-06,1.24
2016-03-06,1
2016-04-06,1.03
2016-05-06,1.05
2016-06-06,0.93
2016-07-06,0.8
2016-08-06,0.87
2016-09-06,0.81
2016-10-06,0.89
2016-11-06,1.01
2016-12-06,1.27
2017-01-06,1.2
2017-02-06,1.26
2017-03-06,1.18
2017-04-06,1.1
2017-05-06,1.04
2017-06-06,0.84
2017-07-06,0.97
2017-08-06,0.9
2017-09-06,0.8
2017-10-06,0.83
2017-11-06,0.71
2017-12-06,0.55
2018-01-06,0.26
2018-02-06,0.69
2018-03-06,0.63
2018-04-06,0.5
2018-05-06,0.46
2018-06-06,0.45
2018-07-06,0.29
2018-08-06,0.3
2018-09-06,0.24
2018-10-06,0.35
2018-11-06,0.29
2018-12-06,0.12
2019-01-06,0.17
2019-02-06,0.18
2019-03-06,0.17
